,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,PositiveTransfer,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
15,16,MemResp,3,16,15,15,0,OM,1,2,1,3,2,4,4,3,0,2,1,0,a,2,1,0,0,0,639,46
16,17,MemResp,3,17,16,16,0,OM,1,2,1,3,2,4,5,3,0,2,1,0,a,2,1,0,0,0,651,46
17,18,MemResp,3,18,17,17,0,OF,2,2,0,12,2,4,5,3,0,2,1,1,s,1,0,1,0,0,1032,46
18,19,MemResp,3,19,18,18,0,OM,1,2,1,3,2,4,6,3,0,2,1,1,a,2,1,0,0,0,949,46
19,20,MemResp,3,20,19,19,0,OM,1,2,1,3,2,4,7,3,0,2,1,1,a,2,1,0,0,0,922,46
20,21,MemResp,3,21,20,20,0,YF,2,1,1,2,2,5,7,3,0,2,1,1,a,2,1,0,0,0,791,46
21,22,MemResp,3,22,21,21,0,OM,1,2,1,3,2,5,8,3,0,2,1,1,k,2,0,0,0,1,852,46
22,23,MemResp,3,23,22,22,0,OF,2,2,0,12,2,5,8,3,0,2,1,2,k,1,0,0,1,0,993,46
23,24,MemResp,3,24,23,23,0,YM,1,1,0,1,3,5,8,3,0,2,1,2,k,2,0,0,0,1,1510,46
24,25,MemResp,3,25,24,24,0,YM,1,1,0,1,4,5,8,3,0,2,1,2,a,2,1,0,0,0,1219,46
25,26,MemResp,3,26,25,25,0,OF,2,2,0,12,4,5,8,3,0,2,1,3,k,1,0,0,1,0,1464,46
26,27,MemResp,3,27,26,26,0,OM,1,2,1,3,4,5,9,3,0,2,1,3,a,2,1,0,0,0,1365,46
27,28,MemResp,3,28,27,27,0,YF,2,1,0,10,4,5,9,3,0,3,1,3,k,1,0,0,1,0,1186,46
28,29,MemResp,3,29,28,28,0,YF,2,1,1,2,4,6,9,3,0,3,1,3,a,2,1,0,0,0,870,46
29,30,MemResp,3,30,29,29,0,OF,2,2,0,4,4,6,9,4,0,3,1,3,k,2,0,0,0,1,1051,46
30,31,MemResp,3,31,30,30,0,OF,2,2,0,4,4,6,9,5,0,3,1,3,k,2,0,0,0,1,1343,46
31,32,MemResp,3,32,31,31,0,YF,2,1,1,2,4,7,9,5,0,3,1,3,a,2,1,0,0,0,764,46
32,33,MemResp,3,33,32,32,0,YM,1,1,0,9,4,7,9,5,1,3,1,3,k,1,0,0,1,0,1186,46
33,34,MemResp,3,34,33,33,0,OM,1,2,1,3,4,7,10,5,1,3,1,3,a,2,1,0,0,0,1270,46
34,35,MemResp,3,35,34,34,0,YF,2,1,1,2,4,8,10,5,1,3,1,3,a,2,1,0,0,0,803,46
35,36,MemResp,3,36,35,35,0,YF,2,1,1,2,4,9,10,5,1,3,1,3,a,2,1,0,0,0,752,46
36,37,MemResp,3,37,36,36,0,OF,2,2,0,4,4,9,10,6,1,3,1,3,a,2,1,0,0,0,805,46
37,38,MemResp,3,38,37,37,0,YM,1,1,0,1,5,9,10,6,1,3,1,3,a,2,1,0,0,0,682,46
38,39,MemResp,3,39,38,38,0,YF,2,1,1,2,5,10,10,6,1,3,1,3,a,2,1,0,0,0,752,46
39,40,MemResp,3,40,39,39,0,OF,2,2,0,4,5,10,10,7,1,3,1,3,a,2,1,0,0,0,771,46
40,41,MemResp,3,41,40,40,0,OM,1,2,0,11,5,10,10,7,1,3,2,3,a,1,0,1,0,0,896,46
41,42,MemResp,3,42,41,41,0,OM,1,2,0,11,5,10,10,7,1,3,3,3,k,1,0,0,1,0,901,46
