,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
7,7,Resp,3,8,7,7,0,3,0,3,2,3,OFN,3,3,n,n,1,922,1,1,23
8,8,Resp,3,9,8,8,0,4,0,3,2,2,YMN,2,4,m,b,0,1182,2,1,23
9,9,RespITI,3,10,9,9,0,5,0,3,2,2,YMN,2,4,m,0,0,1182,3,1,23
10,10,Resp,3,11,10,10,0,6,0,3,2,2,YMN,2,4,m,m,1,990,1,2,23
11,11,Resp,3,12,11,11,0,7,0,3,2,2,YMN,2,4,m,m,1,630,1,3,23
12,12,Resp,3,13,12,12,0,7,1,3,2,1,YFN,1,1,v,v,1,962,1,4,23
13,13,Resp,3,14,13,13,0,7,2,3,2,1,YFN,1,1,v,v,1,1026,1,5,23
14,14,RespITI,3,15,14,14,0,7,2,3,3,3,OFN,3,3,n,0,0,1026,3,5,23
15,15,Resp,3,16,15,15,0,7,2,3,4,3,OFN,3,3,n,n,1,616,1,6,23
16,16,Resp,3,17,16,16,0,7,3,3,4,1,YFN,1,1,v,v,1,854,1,7,23
17,17,Resp,3,18,17,17,0,7,3,3,5,3,OFN,3,3,n,n,1,772,1,8,23
18,18,Resp,3,19,18,18,0,7,3,3,6,3,OFN,3,3,n,n,1,724,1,9,23
19,19,Resp,3,20,19,19,0,7,3,4,6,4,OMN,4,2,b,m,0,1116,2,9,23
20,20,Resp,3,21,20,20,0,7,3,5,6,4,OMN,4,2,b,b,1,1138,1,10,23
21,21,Resp,3,22,21,21,0,7,3,5,7,3,OFN,3,3,n,b,0,784,2,10,23
22,22,RespITI,3,23,22,22,0,8,3,5,7,2,YMN,2,4,m,0,0,784,3,10,23
23,23,Resp,3,24,23,23,0,8,3,6,7,4,OMN,4,2,b,m,0,954,2,10,23
24,24,Resp,3,25,24,24,0,8,4,6,7,1,YFN,1,1,v,v,1,1178,1,11,23
25,25,Resp,3,26,25,25,0,8,4,6,8,3,OFN,3,3,n,n,1,1104,1,12,23
26,26,Resp,3,27,26,26,0,8,4,7,8,4,OMN,4,2,b,b,1,1020,1,13,23
27,27,Resp,3,28,27,27,0,8,5,7,8,1,YFN,1,1,v,v,1,982,1,14,23
28,28,Resp,3,29,28,28,0,8,5,7,9,3,OFN,3,3,n,n,1,1020,1,15,23
29,29,Resp,3,30,29,29,0,8,5,7,10,3,OFN,3,3,n,n,1,768,1,16,23
30,30,Resp,3,31,30,30,0,9,5,7,10,2,YMN,2,4,m,v,0,1078,2,16,23
31,31,Resp,3,32,31,31,0,10,5,7,10,2,YMN,2,4,m,m,1,740,1,17,23
32,32,Resp,3,33,32,32,0,10,6,7,10,1,YFN,1,1,v,v,1,810,1,18,23
33,33,Resp,3,34,33,33,0,11,6,7,10,2,YMN,2,4,m,m,1,838,1,19,23
34,34,Resp,3,35,34,34,0,11,6,7,11,3,OFN,3,3,n,n,1,910,1,20,23
35,35,Resp,3,36,35,35,0,11,7,7,11,1,YFN,1,1,v,v,1,820,1,21,23
36,36,Resp,3,37,36,36,0,11,7,7,12,3,OFN,3,3,n,n,1,836,1,22,23
37,37,Resp,3,38,37,37,0,11,7,7,13,3,OFN,3,3,n,n,1,832,1,23,23
38,38,Resp,3,39,38,38,0,12,7,7,13,2,YMN,2,4,m,v,0,1242,2,23,23
39,39,Resp,3,40,39,39,0,12,7,8,13,4,OMN,4,2,b,b,1,1024,1,24,23
40,40,Resp,3,41,40,40,0,12,7,9,13,4,OMN,4,2,b,b,1,932,1,25,23
41,41,Resp,3,42,41,41,0,12,8,9,13,1,YFN,1,1,v,v,1,1000,1,26,23
42,42,Resp,3,43,42,42,0,12,8,10,13,4,OMN,4,2,b,n,0,900,2,26,23
43,43,Resp,3,44,43,43,0,12,9,10,13,1,YFN,1,1,v,v,1,980,1,27,23
44,44,Resp,3,45,44,44,0,12,9,10,14,3,OFN,3,3,n,n,1,830,1,28,23
45,45,Resp,3,46,45,45,0,13,9,10,14,2,YMN,2,4,m,m,1,890,1,29,23
46,46,Resp,3,47,46,46,0,13,9,11,14,4,OMN,4,2,b,n,0,950,2,29,23
47,47,Resp,3,48,47,47,0,13,9,12,14,4,OMN,4,2,b,b,1,560,1,30,23
48,48,Resp,3,49,48,48,0,13,10,12,14,1,YFN,1,1,v,v,1,962,1,31,23
49,49,Resp,3,50,49,49,0,13,10,12,15,3,OFN,3,3,n,n,1,772,1,32,23
50,50,Resp,3,51,50,50,0,13,11,12,15,1,YFN,1,1,v,b,0,710,2,32,23
51,51,Resp,3,52,51,51,0,13,11,13,15,4,OMN,4,2,b,n,0,652,2,32,23
52,52,Resp,3,53,52,52,0,13,12,13,15,1,YFN,1,1,v,v,1,752,1,33,23
53,53,Resp,3,54,53,53,0,13,12,13,16,3,OFN,3,3,n,n,1,812,1,34,23
54,54,Resp,3,55,54,54,0,13,13,13,16,1,YFN,1,1,v,v,1,722,1,35,23
55,55,Resp,3,56,55,55,0,14,13,13,16,2,YMN,2,4,m,m,1,840,1,36,23
